artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Hampton,USA,http://phish.net/setlists/?d=2009-03-06,,"March 06, 2009",5 years ago,2009-03-06,1252530557,2009,VA,Hampton Coliseum,6
Phish,Hampton,USA,http://phish.net/setlists/?d=2009-03-07,,"March 07, 2009",5 years ago,2009-03-07,1252530888,2009,VA,Hampton Coliseum,6
Phish,Hampton,USA,http://phish.net/setlists/?d=2009-03-08,,"March 08, 2009",5 years ago,2009-03-08,1252531400,2009,VA,Hampton Coliseum,6
Phish,Boston,USA,http://phish.net/setlists/?d=2009-05-31,,"May 31, 2009",5 years ago,2009-05-31,1252532689,2009,MA,Fenway Park,498
Phish,Wantagh,USA,http://phish.net/setlists/?d=2009-06-02,,"June 02, 2009",5 years ago,2009-06-02,1252542352,2009,NY,Nikon at Jones Beach Theater,499
Phish,Wantagh,USA,http://phish.net/setlists/?d=2009-06-04,,"June 04, 2009",5 years ago,2009-06-04,1252544193,2009,NY,Nikon at Jones Beach Theater,499
Phish,Wantagh,USA,http://phish.net/setlists/?d=2009-06-05,,"June 05, 2009",5 years ago,2009-06-05,1252544602,2009,NY,Nikon at Jones Beach Theater,499
Phish,Mansfield,USA,http://phish.net/setlists/?d=2009-06-06,,"June 06, 2009",5 years ago,2009-06-06,1252544925,2009,MA,Comcast Center,500
Phish,Camden,USA,http://phish.net/setlists/?d=2009-06-07,,"June 07, 2009",5 years ago,2009-06-07,1252547897,2009,NJ,Susquehanna Bank Center,501
Phish,Asheville,USA,http://phish.net/setlists/?d=2009-06-09,,"June 09, 2009",5 years ago,2009-06-09,1252549834,2009,NC,Asheville Civic Center,502
Phish,Knoxville,USA,http://phish.net/setlists/?d=2009-06-10,,"June 10, 2009",5 years ago,2009-06-10,1252550793,2009,TN,Thompson-Boling Arena,503
Phish,Manchester,USA,http://phish.net/setlists/?d=2009-06-11,,"June 11, 2009",5 years ago,2009-06-11,1263176391,2009,TN,Bonnaroo Music & Arts Festival,506
Phish,Manchester,USA,http://phish.net/setlists/?d=2009-06-12,,"June 12, 2009",5 years ago,2009-06-12,1252552079,2009,TN,Bonnaroo Music & Arts Festival,506
Phish,Manchester,USA,http://phish.net/setlists/?d=2009-06-14,,"June 14, 2009",5 years ago,2009-06-14,1252554491,2009,TN,Bonnaroo Music & Arts Festival,506
