artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Burlington,USA,http://phish.net/setlists/?d=1994-04-04,,"April 04, 1994",20 years ago,1994-04-04,1250454896,1994,VT,The Flynn Theatre,16
Phish,,Canada,http://phish.net/setlists/?d=1994-04-05,,"April 05, 1994",20 years ago,1994-04-05,1250458591,1994,,The Metropolis,17
Phish,"Toronto, Ontario",Canada,http://phish.net/setlists/?d=1994-04-06,,"April 06, 1994",20 years ago,1994-04-06,1250458932,1994,,Concert Hall,18
Phish,State College,USA,http://phish.net/setlists/?d=1994-04-08,,"April 08, 1994",20 years ago,1994-04-08,1250459251,1994,PA,"Recreation Hall, Penn State University",19
Phish,Binghamton,USA,http://phish.net/setlists/?d=1994-04-09,,"April 09, 1994",20 years ago,1994-04-09,1250459936,1994,NY,Broome County Arena,22
Phish,Buffalo,USA,http://phish.net/setlists/?d=1994-04-10,,"April 10, 1994",20 years ago,1994-04-10,1250460178,1994,NY,"Alumni Arena, SUNY Buffalo",23
Phish,Durham,USA,http://phish.net/setlists/?d=1994-04-11,,"April 11, 1994",20 years ago,1994-04-11,1250460509,1994,NH,"Snivley Arena, University of New Hampshire",26
Phish,New York,USA,http://phish.net/setlists/?d=1994-04-13,,"April 13, 1994",20 years ago,1994-04-13,1250461021,1994,NY,Beacon Theatre,31
Phish,New York,USA,http://phish.net/setlists/?d=1994-04-13,,"April 13, 1994",20 years ago,1994-04-13,1250460795,1994,NY,WNEW Studios,30
Phish,New York,USA,http://phish.net/setlists/?d=1994-04-14,,"April 14, 1994",20 years ago,1994-04-14,1250461564,1994,NY,Beacon Theatre,31
Phish,New York,USA,http://phish.net/setlists/?d=1994-04-15,,"April 15, 1994",20 years ago,1994-04-15,1250461281,1994,NY,Beacon Theatre,31
Phish,Amherst,USA,http://phish.net/setlists/?d=1994-04-16,,"April 16, 1994",20 years ago,1994-04-16,1250461745,1994,MA,"Mullins Center, University of Massachusetts",34
