artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Philadelphia,USA,http://phish.net/setlists/?d=2000-05-15,,"May 15, 2000",14 years ago,2000-05-15,1251863384,2000,PA,Sonic Studios,375
Phish,Philadelphia,USA,http://phish.net/setlists/?d=2000-05-15,,"May 15, 2000",14 years ago,2000-05-15,1264210581,2000,PA,Sonic Studios,375
Phish,New York,USA,http://phish.net/setlists/?d=2000-05-16,,"May 16, 2000",14 years ago,2000-05-16,1251863674,2000,NY,Ed Sullivan Theater,228
Phish,Berkeley,USA,http://phish.net/setlists/?d=2000-05-18,,"May 18, 2000",14 years ago,2000-05-18,1251863891,2000,CA,KFOG Fantasy Studios,376
Phish,Los Angeles,USA,http://phish.net/setlists/?d=2000-05-19,,"May 19, 2000",14 years ago,2000-05-19,1251864582,2000,CA,Key Club,377
Phish,Los Angeles,USA,http://phish.net/setlists/?d=2000-05-19,,"May 19, 2000",14 years ago,2000-05-19,1251864756,2000,CA,Key Club,377
Phish,New York,USA,http://phish.net/setlists/?d=2000-05-21,,"May 21, 2000",14 years ago,2000-05-21,1251255837,2000,NY,Radio City Music Hall,275
Phish,New York,USA,http://phish.net/setlists/?d=2000-05-22,,"May 22, 2000",14 years ago,2000-05-22,1251865168,2000,NY,Radio City Music Hall,275
Phish,New York,USA,http://phish.net/setlists/?d=2000-05-23,,"May 23, 2000",14 years ago,2000-05-23,1251865792,2000,NY,Roseland Ballroom,96
Phish,"Shibuya-ku, Tokyo",Japan,http://phish.net/setlists/?d=2000-06-09,,"June 09, 2000",14 years ago,2000-06-09,1251866690,2000,,On Air East,378
Phish,"Koto-ku, Tokyo",Japan,http://phish.net/setlists/?d=2000-06-10,,"June 10, 2000",14 years ago,2000-06-10,1251867104,2000,,Zepp,379
Phish,"Chiyoda-ku, Tokyo",Japan,http://phish.net/setlists/?d=2000-06-11,,"June 11, 2000",14 years ago,2000-06-11,1251867493,2000,,Hibiya Outdoor Theatre,380
Phish,"Naka-ku, Nagoya",Japan,http://phish.net/setlists/?d=2000-06-13,,"June 13, 2000",14 years ago,2000-06-13,1251868073,2000,,Club Quattro,381
Phish,"Chuo-ku, Fukuoka",Japan,http://phish.net/setlists/?d=2000-06-14,,"June 14, 2000",14 years ago,2000-06-14,1251868714,2000,,Drum Logos,382
Phish,"Chuo-ku, Osaka",Japan,http://phish.net/setlists/?d=2000-06-15,,"June 15, 2000",14 years ago,2000-06-15,1251869596,2000,,Big Cat,383
Phish,"Suminoe-ku, Osaka",Japan,http://phish.net/setlists/?d=2000-06-16,,"June 16, 2000",14 years ago,2000-06-16,1251870050,2000,,Zepp,384
Phish,Antioch,USA,http://phish.net/setlists/?d=2000-06-22,,"June 22, 2000",14 years ago,2000-06-22,1251870599,2000,TN,AmSouth Amphitheatre,395
Phish,Atlanta,USA,http://phish.net/setlists/?d=2000-06-23,,"June 23, 2000",14 years ago,2000-06-23,1251946892,2000,GA,Lakewood Amphitheatre,396
Phish,Atlanta,USA,http://phish.net/setlists/?d=2000-06-24,,"June 24, 2000",14 years ago,2000-06-24,1251947314,2000,GA,Lakewood Amphitheatre,396
Phish,Raleigh,USA,http://phish.net/setlists/?d=2000-06-25,,"June 25, 2000",14 years ago,2000-06-25,1251947716,2000,NC,ALLTEL Pavilion at Walnut Creek,397
Phish,New York,USA,http://phish.net/setlists/?d=2000-06-27,,"June 27, 2000",14 years ago,2000-06-27,1251947925,2000,NY,"NBC Television Studios, Studio 6A",385
Phish,Holmdel,USA,http://phish.net/setlists/?d=2000-06-28,,"June 28, 2000",14 years ago,2000-06-28,1251948173,2000,NJ,PNC Bank Arts Center,398
Phish,Holmdel,USA,http://phish.net/setlists/?d=2000-06-29,,"June 29, 2000",14 years ago,2000-06-29,1251948705,2000,NJ,PNC Bank Arts Center,398
Phish,Hartford,USA,http://phish.net/setlists/?d=2000-06-30,,"June 30, 2000",14 years ago,2000-06-30,1250813104,2000,CT,Meadows Music Theatre,1
Phish,Hartford,USA,http://phish.net/setlists/?d=2000-07-01,,"July 01, 2000",14 years ago,2000-07-01,1250971772,2000,CT,Meadows Music Theatre,1
Phish,Camden,USA,http://phish.net/setlists/?d=2000-07-03,,"July 03, 2000",14 years ago,2000-07-03,1251950810,2000,NJ,E Centre,399
Phish,Camden,USA,http://phish.net/setlists/?d=2000-07-04,,"July 04, 2000",14 years ago,2000-07-04,1251951565,2000,NJ,E Centre,399
Phish,"Toronto, Ontario",Canada,http://phish.net/setlists/?d=2000-07-06,,"July 06, 2000",14 years ago,2000-07-06,1251954709,2000,,Molson Amphitheatre,386
