artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Waitsfield,USA,http://phish.net/setlists/?d=1989-01-18,,"January 18, 1989",25 years ago,1989-01-18,1252808600,1989,VT,,13
Phish,Bar Harbor,USA,http://phish.net/setlists/?d=1989-01-20,,"January 20, 1989",25 years ago,1989-01-20,1252808742,1989,ME,College of the Atlantic,577
Phish,Orono,USA,http://phish.net/setlists/?d=1989-01-21,,"January 21, 1989",25 years ago,1989-01-21,1252808863,1989,ME,The Oronoka Restaurant and Hotel,53
Phish,Old Town,USA,http://phish.net/setlists/?d=1989-01-25,,"January 25, 1989",25 years ago,1989-01-25,1252808932,1989,ME,Penny Post,579
Phish,Boston,USA,http://phish.net/setlists/?d=1989-01-26,,"January 26, 1989",25 years ago,1989-01-26,1252809203,1989,MA,The Paradise,33
Phish,Hanover,USA,http://phish.net/setlists/?d=1989-01-28,,"January 28, 1989",25 years ago,1989-01-28,1252809249,1989,NH,Dartmouth College,580
Phish,Waitsfield,USA,http://phish.net/setlists/?d=1989-02-01,,"February 01, 1989",25 years ago,1989-02-01,1252809270,1989,VT,,13
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-02-05,,"February 05, 1989",25 years ago,1989-02-05,1252809312,1989,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-02-06,,"February 06, 1989",25 years ago,1989-02-06,1252809574,1989,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-02-07,,"February 07, 1989",25 years ago,1989-02-07,1252809745,1989,VT,The Front,21
Phish,Amherst,USA,http://phish.net/setlists/?d=1989-02-10,,"February 10, 1989",25 years ago,1989-02-10,1252810938,1989,MA,"Student Union Ballroom, University of Massachusetts",41
Phish,Northampton,USA,http://phish.net/setlists/?d=1989-02-11,,"February 11, 1989",25 years ago,1989-02-11,1252811002,1989,MA,Sheehan's,581
Phish,Newmarket,USA,http://phish.net/setlists/?d=1989-02-17,,"February 17, 1989",25 years ago,1989-02-17,1252811168,1989,NH,Old Stone Church,582
Phish,Newmarket,USA,http://phish.net/setlists/?d=1989-02-18,,"February 18, 1989",25 years ago,1989-02-18,1252811271,1989,NH,Old Stone Church,582
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-02-23,,"February 23, 1989",25 years ago,1989-02-23,1252811296,1989,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-02-24,,"February 24, 1989",25 years ago,1989-02-24,1252811729,1989,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-02-25,,"February 25, 1989",25 years ago,1989-02-25,1252811752,1989,VT,The Front,21
Phish,Waitsfield,USA,http://phish.net/setlists/?d=1989-03-01,,"March 01, 1989",25 years ago,1989-03-01,1252811774,1989,VT,,13
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-03-03,,"March 03, 1989",25 years ago,1989-03-03,1252811947,1989,VT,"Living and Learning Center, University of Vermont",450
Phish,New York,USA,http://phish.net/setlists/?d=1989-03-04,,"March 04, 1989",25 years ago,1989-03-04,1252812023,1989,NY,The Wetlands Preserve,79
Phish,Unknown,USA,http://phish.net/setlists/?d=1989-03-05,,"March 05, 1989",25 years ago,1989-03-05,1284341932,1989,NJ,Anastasio's House,780
Phish,Northampton,USA,http://phish.net/setlists/?d=1989-03-11,,"March 11, 1989",25 years ago,1989-03-11,1252812039,1989,MA,Sheehan's,581
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-03-12,,"March 12, 1989",25 years ago,1989-03-12,1252812287,1989,VT,Nectar's,2
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-03-13,,"March 13, 1989",25 years ago,1989-03-13,1252812321,1989,VT,Nectar's,2
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-03-14,,"March 14, 1989",25 years ago,1989-03-14,1252812536,1989,VT,Nectar's,2
Phish,Boston,USA,http://phish.net/setlists/?d=1989-03-24,,"March 24, 1989",25 years ago,1989-03-24,1252812729,1989,MA,The Paradise,33
Phish,Portland,USA,http://phish.net/setlists/?d=1989-03-25,,"March 25, 1989",25 years ago,1989-03-25,1252812748,1989,ME,,20
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-03-30,,"March 30, 1989",25 years ago,1989-03-30,1252812942,1989,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-03-31,,"March 31, 1989",25 years ago,1989-03-31,1252812970,1989,VT,The Front,21
Phish,Northampton,USA,http://phish.net/setlists/?d=1989-04-01,,"April 01, 1989",25 years ago,1989-04-01,1252813060,1989,MA,10 Below,584
Phish,Naugatuck,USA,http://phish.net/setlists/?d=1989-04-02,,"April 02, 1989",25 years ago,1989-04-02,1252813104,1989,CT,The Nightshift,585
Phish,Newmarket,USA,http://phish.net/setlists/?d=1989-04-07,,"April 07, 1989",25 years ago,1989-04-07,1252813164,1989,NH,Old Stone Church,582
Phish,Rutland,USA,http://phish.net/setlists/?d=1989-04-13,,"April 13, 1989",25 years ago,1989-04-13,1252813207,1989,VT,,586
Phish,Johnson,USA,http://phish.net/setlists/?d=1989-04-14,,"April 14, 1989",25 years ago,1989-04-14,1252813601,1989,VT,"The Base Lodge, Stearns Hall, Johnson State College",461
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-04-15,,"April 15, 1989",25 years ago,1989-04-15,1252813801,1989,VT,"Billings Lounge, University of Vermont",434
Phish,Somerville,USA,http://phish.net/setlists/?d=1989-04-19,,"April 19, 1989",25 years ago,1989-04-19,1252813855,1989,MA,Johnny D's,588
Phish,Amherst,USA,http://phish.net/setlists/?d=1989-04-20,,"April 20, 1989",25 years ago,1989-04-20,1252814506,1989,MA,"Humphries House (The Zoo), Amherst College",468
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-04-21,,"April 21, 1989",25 years ago,1989-04-21,1252814547,1989,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1989-04-22,,"April 22, 1989",25 years ago,1989-04-22,1252814581,1989,VT,The Front,21
Phish,Durham,USA,http://phish.net/setlists/?d=1989-04-27,,"April 27, 1989",25 years ago,1989-04-27,1252814799,1989,NH,"Memorial Union Building, University of New Hampshire",590
Phish,Brunswick,USA,http://phish.net/setlists/?d=1989-04-28,,"April 28, 1989",25 years ago,1989-04-28,1252814845,1989,ME,"Moulton Union, Bowdoin College",591
Phish,Providence,USA,http://phish.net/setlists/?d=1989-04-29,,"April 29, 1989",25 years ago,1989-04-29,1252814868,1989,RI,The Living Room,32
Phish,Cambridge,USA,http://phish.net/setlists/?d=1989-04-30,,"April 30, 1989",25 years ago,1989-04-30,1252814968,1989,MA,Night Stage,592
