artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,New York,USA,http://phish.net/setlists/?d=2002-12-14,,"December 14, 2002",11 years ago,2002-12-14,1251077390,2002,NY,"Studio 8H, NBC Studios",227
Phish,New York,USA,http://phish.net/setlists/?d=2002-12-19,,"December 19, 2002",11 years ago,2002-12-19,1251077456,2002,NY,Ed Sullivan Theater,228
Phish,New York,USA,http://phish.net/setlists/?d=2002-12-31,,"December 31, 2002",11 years ago,2002-12-31,1251078210,2002,NY,Madison Square Garden,157
