artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,New Orleans,USA,http://phish.net/setlists/?d=1996-04-26,,"April 26, 1996",18 years ago,1996-04-26,1252701007,1996,LA,New Orleans Fairgrounds,1272
Phish,Woodstock,USA,http://phish.net/setlists/?d=1996-06-06,,"June 06, 1996",18 years ago,1996-06-06,1253039395,1996,NY,Joyous Lake,685
Phish,Lonigo,Italy,http://phish.net/setlists/?d=1996-07-02,,"July 02, 1996",18 years ago,1996-07-02,1250993864,1996,,Pista Speedway,184
Phish,Trento,Italy,http://phish.net/setlists/?d=1996-07-03,,"July 03, 1996",18 years ago,1996-07-03,1250721078,1996,,Stadio Briamasco,82
Phish,Rome,Italy,http://phish.net/setlists/?d=1996-07-05,,"July 05, 1996",18 years ago,1996-07-05,1250721183,1996,,Stadio Olimpico,83
Phish,Pistoia,Italy,http://phish.net/setlists/?d=1996-07-06,,"July 06, 1996",18 years ago,1996-07-06,1250721284,1996,,Piazza del Duomo,84
Phish,Milan,Italy,http://phish.net/setlists/?d=1996-07-07,,"July 07, 1996",18 years ago,1996-07-07,1250721351,1996,,Parco Aquatica,85
Phish,Deauville,France,http://phish.net/setlists/?d=1996-07-09,,"July 09, 1996",18 years ago,1996-07-09,1250721403,1996,,Centre International,86
Phish,Paris,France,http://phish.net/setlists/?d=1996-07-10,,"July 10, 1996",18 years ago,1996-07-10,1250721448,1996,,Le Zenith,87
Phish,London,England,http://phish.net/setlists/?d=1996-07-11,,"July 11, 1996",18 years ago,1996-07-11,1251008394,1996,,Shepherd's Bush Empire,205
Phish,Amsterdam,Netherlands,http://phish.net/setlists/?d=1996-07-12,,"July 12, 1996",18 years ago,1996-07-12,1250984252,1996,,Melkweg,171
Phish,Dour,Belgium,http://phish.net/setlists/?d=1996-07-13,,"July 13, 1996",18 years ago,1996-07-13,1250721510,1996,,Dour Festival,88
Phish,Sesto Calende,Italy,http://phish.net/setlists/?d=1996-07-15,,"July 15, 1996",17 years ago,1996-07-15,1251008494,1996,,La Marna,206
Phish,Vienne,France,http://phish.net/setlists/?d=1996-07-17,,"July 17, 1996",17 years ago,1996-07-17,1250721561,1996,,Theatre Antique,89
Phish,Nice,France,http://phish.net/setlists/?d=1996-07-18,,"July 18, 1996",17 years ago,1996-07-18,1250899547,1996,,Theatre de Verdure,153
Phish,Arles,France,http://phish.net/setlists/?d=1996-07-19,,"July 19, 1996",17 years ago,1996-07-19,1250721640,1996,,Les Arenes Romaines,90
Phish,,Germany,http://phish.net/setlists/?d=1996-07-21,,"July 21, 1996",17 years ago,1996-07-21,1250899892,1996,,The Forum,154
Phish,Cologne,Germany,http://phish.net/setlists/?d=1996-07-22,,"July 22, 1996",17 years ago,1996-07-22,1250721712,1996,,Tanzbrunnen,91
Phish,Hamburg,Germany,http://phish.net/setlists/?d=1996-07-23,,"July 23, 1996",17 years ago,1996-07-23,1250900037,1996,,Markethalle,155
Phish,Hanover,Germany,http://phish.net/setlists/?d=1996-07-24,,"July 24, 1996",17 years ago,1996-07-24,1250721801,1996,,The Music Hall,92
Phish,Hamburg,Germany,http://phish.net/setlists/?d=1996-07-25,,"July 25, 1996",17 years ago,1996-07-25,1250721884,1996,,Stadtpark,93
Phish,Park City,USA,http://phish.net/setlists/?d=1996-08-02,,"August 02, 1996",17 years ago,1996-08-02,1253040933,1996,UT,Wolf Mountain Amphitheatre,686
Phish,Morrison,USA,http://phish.net/setlists/?d=1996-08-04,,"August 04, 1996",17 years ago,1996-08-04,1253041761,1996,CO,Red Rocks Amphitheatre,50
Phish,Morrison,USA,http://phish.net/setlists/?d=1996-08-05,,"August 05, 1996",17 years ago,1996-08-05,1253043651,1996,CO,Red Rocks Amphitheatre,50
Phish,Morrison,USA,http://phish.net/setlists/?d=1996-08-06,,"August 06, 1996",17 years ago,1996-08-06,1253138032,1996,CO,Red Rocks Amphitheatre,50
Phish,Morrison,USA,http://phish.net/setlists/?d=1996-08-07,,"August 07, 1996",17 years ago,1996-08-07,1253138477,1996,CO,Red Rocks Amphitheatre,50
Phish,East Troy,USA,http://phish.net/setlists/?d=1996-08-10,,"August 10, 1996",17 years ago,1996-08-10,1253138965,1996,WI,Alpine Valley Music Theatre,3
Phish,Noblesville,USA,http://phish.net/setlists/?d=1996-08-12,,"August 12, 1996",17 years ago,1996-08-12,1253139280,1996,IN,Deer Creek Music Center,401
Phish,Noblesville,USA,http://phish.net/setlists/?d=1996-08-13,,"August 13, 1996",17 years ago,1996-08-13,1253139955,1996,IN,Deer Creek Music Center,401
Phish,Hershey,USA,http://phish.net/setlists/?d=1996-08-14,,"August 14, 1996",17 years ago,1996-08-14,1253140282,1996,PA,Hersheypark Stadium,389
Phish,Plattsburgh,USA,http://phish.net/setlists/?d=1996-08-15,,"August 15, 1996",17 years ago,1996-08-15,1260550356,1996,NY,Plattsburgh Air Force Base,339
Phish,Plattsburgh,USA,http://phish.net/setlists/?d=1996-08-16,,"August 16, 1996",17 years ago,1996-08-16,1253164730,1996,NY,Plattsburgh Air Force Base,339
Phish,Plattsburgh,USA,http://phish.net/setlists/?d=1996-08-17,,"August 17, 1996",17 years ago,1996-08-17,1251582198,1996,NY,Plattsburgh Air Force Base,339
Phish,Lake Placid,USA,http://phish.net/setlists/?d=1996-10-16,,"October 16, 1996",17 years ago,1996-10-16,1253140624,1996,NY,Olympic Center,703
Phish,State College,USA,http://phish.net/setlists/?d=1996-10-17,,"October 17, 1996",17 years ago,1996-10-17,1253141059,1996,PA,"Bryce Jordan Center, Penn State University",527
Phish,Pittsburgh,USA,http://phish.net/setlists/?d=1996-10-18,,"October 18, 1996",17 years ago,1996-10-18,1253141431,1996,PA,Civic Arena,700
Phish,Buffalo,USA,http://phish.net/setlists/?d=1996-10-19,,"October 19, 1996",17 years ago,1996-10-19,1250900293,1996,NY,Marine Midland Arena,156
Phish,New York,USA,http://phish.net/setlists/?d=1996-10-21,,"October 21, 1996",17 years ago,1996-10-21,1250900445,1996,NY,Madison Square Garden,157
Phish,New York,USA,http://phish.net/setlists/?d=1996-10-22,,"October 22, 1996",17 years ago,1996-10-22,1253142029,1996,NY,Madison Square Garden,157
Phish,Hartford,USA,http://phish.net/setlists/?d=1996-10-23,,"October 23, 1996",17 years ago,1996-10-23,1253142331,1996,CT,Hartford Civic Center,439
Phish,Hampton,USA,http://phish.net/setlists/?d=1996-10-25,,"October 25, 1996",17 years ago,1996-10-25,1251054823,1996,VA,Hampton Coliseum,6
Phish,Charlotte,USA,http://phish.net/setlists/?d=1996-10-26,,"October 26, 1996",17 years ago,1996-10-26,1253142824,1996,NC,Charlotte Coliseum,699
Phish,North Charleston,USA,http://phish.net/setlists/?d=1996-10-27,,"October 27, 1996",17 years ago,1996-10-27,1253143967,1996,SC,North Charleston Coliseum,698
Phish,Tallahassee,USA,http://phish.net/setlists/?d=1996-10-29,,"October 29, 1996",17 years ago,1996-10-29,1253144340,1996,FL,Leon County Civic Center,706
Phish,Atlanta,USA,http://phish.net/setlists/?d=1996-10-31,,"October 31, 1996",17 years ago,1996-10-31,1253145063,1996,GA,The Omni,707
Phish,West Palm Beach,USA,http://phish.net/setlists/?d=1996-11-02,,"November 02, 1996",17 years ago,1996-11-02,1253146017,1996,FL,Coral Sky Amphitheater,708
