artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Worcester,USA,http://phish.net/setlists/?d=2012-06-07,,"June 07, 2012",2 years ago,2012-06-07,1330537042,2012,MA,DCU Center,781
Phish,Worcester,USA,http://phish.net/setlists/?d=2012-06-08,,"June 08, 2012",2 years ago,2012-06-08,1330537122,2012,MA,DCU Center,781
Phish,Manchester,USA,http://phish.net/setlists/?d=2012-06-10,,"June 10, 2012",2 years ago,2012-06-10,1330537173,2012,TN,Bonnaroo Music & Arts Festival,506
Phish,Atlantic City,USA,http://phish.net/setlists/?d=2012-06-15,,"June 15, 2012",2 years ago,2012-06-15,1330537366,2012,NJ,Bader Field,1192
Phish,Atlantic City,USA,http://phish.net/setlists/?d=2012-06-16,,"June 16, 2012",2 years ago,2012-06-16,1330537464,2012,NJ,Bader Field,1192
Phish,Atlantic City,USA,http://phish.net/setlists/?d=2012-06-17,,"June 17, 2012",2 years ago,2012-06-17,1330537494,2012,NJ,Bader Field,1192
Phish,Portsmouth,USA,http://phish.net/setlists/?d=2012-06-19,,"June 19, 2012",2 years ago,2012-06-19,1330537593,2012,VA,nTelos Pavilion,765
Phish,Portsmouth,USA,http://phish.net/setlists/?d=2012-06-20,,"June 20, 2012",2 years ago,2012-06-20,1330537647,2012,VA,nTelos Pavilion,765
Phish,Cincinnati,USA,http://phish.net/setlists/?d=2012-06-22,,"June 22, 2012",2 years ago,2012-06-22,1330537704,2012,OH,Riverbend Music Center,390
Phish,Burgettstown,USA,http://phish.net/setlists/?d=2012-06-23,,"June 23, 2012",2 years ago,2012-06-23,1330537970,2012,PA,First Niagara Pavilion,1193
Phish,Cuyahoga Falls,USA,http://phish.net/setlists/?d=2012-06-24,,"June 24, 2012",2 years ago,2012-06-24,1330538012,2012,OH,Blossom Music Center,223
Phish,Noblesville,USA,http://phish.net/setlists/?d=2012-06-28,,"June 28, 2012",2 years ago,2012-06-28,1330538374,2012,IN,Klipsch Music Center,1194
Phish,Noblesville,USA,http://phish.net/setlists/?d=2012-06-29,,"June 29, 2012",2 years ago,2012-06-29,1330538488,2012,IN,Klipsch Music Center,1194
Phish,East Troy,USA,http://phish.net/setlists/?d=2012-06-30,,"June 30, 2012",2 years ago,2012-06-30,1330538599,2012,WI,Alpine Valley Music Theatre,3
Phish,East Troy,USA,http://phish.net/setlists/?d=2012-07-01,,"July 01, 2012",2 years ago,2012-07-01,1330538638,2012,WI,Alpine Valley Music Theatre,3
Phish,Wantagh,USA,http://phish.net/setlists/?d=2012-07-03,,"July 03, 2012",2 years ago,2012-07-03,1330538693,2012,NY,Nikon at Jones Beach Theater,499
Phish,Wantagh,USA,http://phish.net/setlists/?d=2012-07-04,,"July 04, 2012",2 years ago,2012-07-04,1330538718,2012,NY,Nikon at Jones Beach Theater,499
Phish,Saratoga Springs,USA,http://phish.net/setlists/?d=2012-07-06,,"July 06, 2012",2 years ago,2012-07-06,1330538758,2012,NY,Saratoga Performing Arts Center,220
Phish,Saratoga Springs,USA,http://phish.net/setlists/?d=2012-07-07,,"July 07, 2012",2 years ago,2012-07-07,1330538860,2012,NY,Saratoga Performing Arts Center,220
Phish,Saratoga Springs,USA,http://phish.net/setlists/?d=2012-07-08,,"July 08, 2012",2 years ago,2012-07-08,1330538902,2012,NY,Saratoga Performing Arts Center,220
Phish,Long Beach,USA,http://phish.net/setlists/?d=2012-08-15,,"August 15, 2012",1 year ago,2012-08-15,1334078404,2012,CA,Long Beach Arena,1220
Phish,San Francisco,USA,http://phish.net/setlists/?d=2012-08-17,,"August 17, 2012",1 year ago,2012-08-17,1334078436,2012,CA,Bill Graham Civic Auditorium,816
Phish,San Francisco,USA,http://phish.net/setlists/?d=2012-08-18,,"August 18, 2012",1 year ago,2012-08-18,1334078468,2012,CA,Bill Graham Civic Auditorium,816
Phish,San Francisco,USA,http://phish.net/setlists/?d=2012-08-19,,"August 19, 2012",1 year ago,2012-08-19,1334078497,2012,CA,Bill Graham Civic Auditorium,816
Phish,Kansas City,USA,http://phish.net/setlists/?d=2012-08-22,,"August 22, 2012",1 year ago,2012-08-22,1334078573,2012,MO,Starlight Theatre,1225
Phish,Pelham,USA,http://phish.net/setlists/?d=2012-08-24,,"August 24, 2012",1 year ago,2012-08-24,1334078657,2012,AL,Oak Mountain Amphitheatre,418
Phish,Atlanta,USA,http://phish.net/setlists/?d=2012-08-25,,"August 25, 2012",1 year ago,2012-08-25,1334078693,2012,GA,Aaron's Amphitheatre at Lakewood,1224
Phish,Charlotte,USA,http://phish.net/setlists/?d=2012-08-26,,"August 26, 2012",1 year ago,2012-08-26,1334078731,2012,NC,Verizon Wireless Amphitheatre - Charlotte,261
Phish,St. Louis,USA,http://phish.net/setlists/?d=2012-08-28,,"August 28, 2012",1 year ago,2012-08-28,1334078763,2012,MO,"Chaifetz Arena, Saint Louis University",1222
Phish,Oklahoma City,USA,http://phish.net/setlists/?d=2012-08-29,,"August 29, 2012",1 year ago,2012-08-29,1334078790,2012,OK,Oklahoma City Zoo Amphitheatre,1223
Phish,Commerce City,USA,http://phish.net/setlists/?d=2012-08-31,,"August 31, 2012",1 year ago,2012-08-31,1334078822,2012,CO,Dick's Sporting Goods Park,961
Phish,Commerce City,USA,http://phish.net/setlists/?d=2012-09-01,,"September 01, 2012",1 year ago,2012-09-01,1334078855,2012,CO,Dick's Sporting Goods Park,961
Phish,Commerce City,USA,http://phish.net/setlists/?d=2012-09-02,,"September 02, 2012",1 year ago,2012-09-02,1334078881,2012,CO,Dick's Sporting Goods Park,961
Phish,New York,USA,http://phish.net/setlists/?d=2012-12-28,,"December 28, 2012",1 year ago,2012-12-28,1349228977,2012,NY,Madison Square Garden,157
Phish,New York,USA,http://phish.net/setlists/?d=2012-12-29,,"December 29, 2012",1 year ago,2012-12-29,1349228993,2012,NY,Madison Square Garden,157
Phish,New York,USA,http://phish.net/setlists/?d=2012-12-30,,"December 30, 2012",1 year ago,2012-12-30,1349229009,2012,NY,Madison Square Garden,157
Phish,New York,USA,http://phish.net/setlists/?d=2012-12-31,,"December 31, 2012",1 year ago,2012-12-31,1349229036,2012,NY,Madison Square Garden,157
