artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Hampton,USA,http://phish.net/setlists/?d=2003-01-02,,"January 02, 2003",11 years ago,2003-01-02,1251078810,2003,VA,Hampton Coliseum,6
Phish,Hampton,USA,http://phish.net/setlists/?d=2003-01-03,,"January 03, 2003",11 years ago,2003-01-03,1251079324,2003,VA,Hampton Coliseum,6
Phish,Hampton,USA,http://phish.net/setlists/?d=2003-01-04,,"January 04, 2003",11 years ago,2003-01-04,1251079677,2003,VA,Hampton Coliseum,6
Phish,Inglewood,USA,http://phish.net/setlists/?d=2003-02-14,,"February 14, 2003",11 years ago,2003-02-14,1251081208,2003,CA,Great Western Forum,229
Phish,Las Vegas,USA,http://phish.net/setlists/?d=2003-02-15,,"February 15, 2003",11 years ago,2003-02-15,1251082233,2003,NV,Thomas & Mack Center,230
Phish,Las Vegas,USA,http://phish.net/setlists/?d=2003-02-16,,"February 16, 2003",11 years ago,2003-02-16,1251093967,2003,NV,Thomas & Mack Center,230
Phish,Denver,USA,http://phish.net/setlists/?d=2003-02-18,,"February 18, 2003",11 years ago,2003-02-18,1251094747,2003,CO,Pepsi Center,236
Phish,Rosemont,USA,http://phish.net/setlists/?d=2003-02-20,,"February 20, 2003",11 years ago,2003-02-20,1251154009,2003,IL,Allstate Arena,237
Phish,Cincinnati,USA,http://phish.net/setlists/?d=2003-02-21,,"February 21, 2003",11 years ago,2003-02-21,1251158653,2003,OH,U.S. Bank Arena,238
Phish,Cincinnati,USA,http://phish.net/setlists/?d=2003-02-22,,"February 22, 2003",11 years ago,2003-02-22,1251160595,2003,OH,U.S. Bank Arena,238
Phish,East Rutherford,USA,http://phish.net/setlists/?d=2003-02-24,,"February 24, 2003",11 years ago,2003-02-24,1251160857,2003,NJ,Continental Airlines Arena,239
Phish,Philadelphia,USA,http://phish.net/setlists/?d=2003-02-25,,"February 25, 2003",11 years ago,2003-02-25,1251161184,2003,PA,First Union Spectrum,240
Phish,Worcester,USA,http://phish.net/setlists/?d=2003-02-26,,"February 26, 2003",11 years ago,2003-02-26,1251161567,2003,MA,Worcester Centrum Centre,241
Phish,Uniondale,USA,http://phish.net/setlists/?d=2003-02-28,,"February 28, 2003",11 years ago,2003-02-28,1251161911,2003,NY,Nassau Coliseum,242
Phish,Greensboro,USA,http://phish.net/setlists/?d=2003-03-01,,"March 01, 2003",11 years ago,2003-03-01,1251163474,2003,NC,Greensboro Coliseum,243
Phish,East Rutherford,USA,http://phish.net/setlists/?d=2003-06-11,,"June 11, 2003",11 years ago,2003-06-11,1251163537,2003,NJ,Continental Airlines Arena,239
