artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Burlington,USA,http://phish.net/setlists/?d=1999-05-17,,"May 17, 1999",15 years ago,1999-05-17,1252045940,1999,VT,The Flynn Theatre,16
Phish,Outer Burlington,USA,http://phish.net/setlists/?d=1999-06-24,,"June 24, 1999",15 years ago,1999-06-24,1252047549,1999,VT,The Barn,394
Phish,Bonner Springs,USA,http://phish.net/setlists/?d=1999-06-30,,"June 30, 1999",15 years ago,1999-06-30,1252047948,1999,KS,Sandstone Amphitheatre,403
Phish,Antioch,USA,http://phish.net/setlists/?d=1999-07-01,,"July 01, 1999",15 years ago,1999-07-01,1252097685,1999,TN,First American Music Center,405
Phish,Atlanta,USA,http://phish.net/setlists/?d=1999-07-03,,"July 03, 1999",15 years ago,1999-07-03,1252100224,1999,GA,Lakewood Amphitheatre,396
Phish,Atlanta,USA,http://phish.net/setlists/?d=1999-07-04,,"July 04, 1999",15 years ago,1999-07-04,1252101587,1999,GA,Lakewood Amphitheatre,396
Phish,Charlotte,USA,http://phish.net/setlists/?d=1999-07-07,,"July 07, 1999",15 years ago,1999-07-07,1252102786,1999,NC,Blockbuster Pavilion,406
Phish,Virginia Beach,USA,http://phish.net/setlists/?d=1999-07-08,,"July 08, 1999",15 years ago,1999-07-08,1252103470,1999,VA,Virginia Beach Amphitheater,407
Phish,Columbia,USA,http://phish.net/setlists/?d=1999-07-09,,"July 09, 1999",15 years ago,1999-07-09,1252106877,1999,MD,Merriweather Post Pavilion,9
Phish,Camden,USA,http://phish.net/setlists/?d=1999-07-10,,"July 10, 1999",15 years ago,1999-07-10,1252108801,1999,NJ,E Centre,399
Phish,Mansfield,USA,http://phish.net/setlists/?d=1999-07-12,,"July 12, 1999",15 years ago,1999-07-12,1252109121,1999,MA,Tweeter Center,402
Phish,Mansfield,USA,http://phish.net/setlists/?d=1999-07-13,,"July 13, 1999",15 years ago,1999-07-13,1252110475,1999,MA,Tweeter Center,402
Phish,Holmdel,USA,http://phish.net/setlists/?d=1999-07-15,,"July 15, 1999",15 years ago,1999-07-15,1252112647,1999,NJ,PNC Bank Arts Center,398
Phish,Holmdel,USA,http://phish.net/setlists/?d=1999-07-16,,"July 16, 1999",14 years ago,1999-07-16,1252115750,1999,NJ,PNC Bank Arts Center,398
Phish,Volney,USA,http://phish.net/setlists/?d=1999-07-17,,"July 17, 1999",14 years ago,1999-07-17,1252116571,1999,NY,Oswego County Airport,408
Phish,Volney,USA,http://phish.net/setlists/?d=1999-07-18,,"July 18, 1999",14 years ago,1999-07-18,1252117289,1999,NY,Oswego County Airport,408
Phish,"Toronto, Ontario",Canada,http://phish.net/setlists/?d=1999-07-20,,"July 20, 1999",14 years ago,1999-07-20,1252117599,1999,,Molson Amphitheatre,386
Phish,Burgettstown,USA,http://phish.net/setlists/?d=1999-07-21,,"July 21, 1999",14 years ago,1999-07-21,1252117818,1999,PA,Star Lake Amphitheatre,400
Phish,Columbus,USA,http://phish.net/setlists/?d=1999-07-23,,"July 23, 1999",14 years ago,1999-07-23,1252119162,1999,OH,Polaris Amphitheater,387
Phish,East Troy,USA,http://phish.net/setlists/?d=1999-07-24,,"July 24, 1999",14 years ago,1999-07-24,1252119486,1999,WI,Alpine Valley Music Theatre,3
Phish,Noblesville,USA,http://phish.net/setlists/?d=1999-07-25,,"July 25, 1999",14 years ago,1999-07-25,1252121002,1999,IN,Deer Creek Music Center,401
Phish,Noblesville,USA,http://phish.net/setlists/?d=1999-07-26,,"July 26, 1999",14 years ago,1999-07-26,1252121397,1999,IN,Deer Creek Music Center,401
Phish,Niigata,Japan,http://phish.net/setlists/?d=1999-07-29,,"July 29, 1999",14 years ago,1999-07-29,1300929798,1999,,Naeba Ski Resort,409
Phish,Niigata,Japan,http://phish.net/setlists/?d=1999-07-30,,"July 30, 1999",14 years ago,1999-07-30,1252121943,1999,,Naeba Ski Resort,409
