artist,city,country,link,meta,nicedate,relativetime,showdate,showid,showyear,state,venue,venueid
Phish,Providence,USA,http://phish.net/setlists/?d=1991-02-01,,"February 01, 1991",23 years ago,1991-02-01,1252706078,1991,RI,"Alumni Hall, Brown University",535
Phish,Lewiston,USA,http://phish.net/setlists/?d=1991-02-02,,"February 02, 1991",23 years ago,1991-02-02,1252706385,1991,ME,"Alumni Gymnasium, Bates College",536
Phish,Burlington,USA,http://phish.net/setlists/?d=1991-02-03,,"February 03, 1991",23 years ago,1991-02-03,1252706661,1991,VT,The Front,21
Phish,Burlington,USA,http://phish.net/setlists/?d=1991-02-04,,"February 04, 1991",23 years ago,1991-02-04,1250663338,1991,VT,The Front,21
Phish,Killington,USA,http://phish.net/setlists/?d=1991-02-07,,"February 07, 1991",23 years ago,1991-02-07,1252707066,1991,VT,Pickle Barrel Pub,537
Phish,Portsmouth,USA,http://phish.net/setlists/?d=1991-02-08,,"February 08, 1991",23 years ago,1991-02-08,1252707470,1991,NH,The Music Hall,77
Phish,Northampton,USA,http://phish.net/setlists/?d=1991-02-09,,"February 09, 1991",23 years ago,1991-02-09,1252710804,1991,MA,"John M. Greene Hall, Smith College",538
Phish,Ithaca,USA,http://phish.net/setlists/?d=1991-02-14,,"February 14, 1991",23 years ago,1991-02-14,1252711220,1991,NY,The State Theatre,539
Phish,Keene,USA,http://phish.net/setlists/?d=1991-02-15,,"February 15, 1991",23 years ago,1991-02-15,1252711982,1991,NH,The Colonial Theatre,78
Phish,New York,USA,http://phish.net/setlists/?d=1991-02-16,,"February 16, 1991",23 years ago,1991-02-16,1252713362,1991,NY,The Marquee,335
Phish,Washington,USA,http://phish.net/setlists/?d=1991-02-19,,"February 19, 1991",23 years ago,1991-02-19,1252713696,1991,DC,The Bayou,44
Phish,Richmond,USA,http://phish.net/setlists/?d=1991-02-20,,"February 20, 1991",23 years ago,1991-02-20,1252713980,1991,VA,Kahootz,540
Phish,Charlottesville,USA,http://phish.net/setlists/?d=1991-02-21,,"February 21, 1991",23 years ago,1991-02-21,1252714354,1991,VA,Trax,67
Phish,Chapel Hill,USA,http://phish.net/setlists/?d=1991-02-22,,"February 22, 1991",23 years ago,1991-02-22,1252715283,1991,NC,Cat's Cradle,49
Phish,Charlotte,USA,http://phish.net/setlists/?d=1991-02-23,,"February 23, 1991",23 years ago,1991-02-23,1252715372,1991,NC,13x13 Club,104
Phish,Salem,USA,http://phish.net/setlists/?d=1991-02-26,,"February 26, 1991",23 years ago,1991-02-26,1252716175,1991,VA,The Barrel House,64
Phish,Knoxville,USA,http://phish.net/setlists/?d=1991-02-27,,"February 27, 1991",23 years ago,1991-02-27,1252718534,1991,TN,,541
Phish,Nashville,USA,http://phish.net/setlists/?d=1991-02-28,,"February 28, 1991",23 years ago,1991-02-28,1252718813,1991,TN,"Sarratt Student Center, Vanderbilt University",542
Phish,Athens,USA,http://phish.net/setlists/?d=1991-03-01,,"March 01, 1991",23 years ago,1991-03-01,1252721509,1991,GA,The Georgia Theatre,25
Phish,Atlanta,USA,http://phish.net/setlists/?d=1991-03-02,,"March 02, 1991",23 years ago,1991-03-02,1252721908,1991,GA,The Cotton Club,326
Phish,Memphis,USA,http://phish.net/setlists/?d=1991-03-06,,"March 06, 1991",23 years ago,1991-03-06,1252722349,1991,TN,New Daisy Theatre,543
Phish,Oxford,USA,http://phish.net/setlists/?d=1991-03-07,,"March 07, 1991",23 years ago,1991-03-07,1252722463,1991,MS,The Gin,544
Phish,Tuscaloosa,USA,http://phish.net/setlists/?d=1991-03-08,,"March 08, 1991",23 years ago,1991-03-08,1252722781,1991,AL,College Station Theater,545
Phish,New Orleans,USA,http://phish.net/setlists/?d=1991-03-09,,"March 09, 1991",23 years ago,1991-03-09,1252723062,1991,LA,Tipitina's,70
Phish,Boulder,USA,http://phish.net/setlists/?d=1991-03-13,,"March 13, 1991",23 years ago,1991-03-13,1252723835,1991,CO,Boulder Theater,199
Phish,Breckenridge,USA,http://phish.net/setlists/?d=1991-03-14,,"March 14, 1991",23 years ago,1991-03-14,1252723987,1991,CO,Ten Mile Room,546
Phish,Englewood,USA,http://phish.net/setlists/?d=1991-03-15,,"March 15, 1991",23 years ago,1991-03-15,1252724275,1991,CO,Gothic Theatre,547
Phish,Breckenridge,USA,http://phish.net/setlists/?d=1991-03-16,,"March 16, 1991",23 years ago,1991-03-16,1252724573,1991,CO,Ten Mile Room,546
Phish,Aspen,USA,http://phish.net/setlists/?d=1991-03-17,,"March 17, 1991",23 years ago,1991-03-17,1252725482,1991,CO,Wheeler Opera House,549
Phish,Durango,USA,http://phish.net/setlists/?d=1991-03-19,,"March 19, 1991",23 years ago,1991-03-19,1252725557,1991,CO,"Fine Arts Auditorium, Fort Lewis College",119
Phish,Steamboat Springs,USA,http://phish.net/setlists/?d=1991-03-22,,"March 22, 1991",23 years ago,1991-03-22,1252725938,1991,CO,The Inferno,76
Phish,Steamboat Springs,USA,http://phish.net/setlists/?d=1991-03-23,,"March 23, 1991",23 years ago,1991-03-23,1252726732,1991,CO,The Inferno,76
Phish,Durango,USA,http://phish.net/setlists/?d=1991-03-25,,"March 25, 1991",23 years ago,1991-03-25,1252726829,1991,CO,"Fine Arts Auditorium, Fort Lewis College",119
Phish,Santa Cruz,USA,http://phish.net/setlists/?d=1991-03-28,,"March 28, 1991",23 years ago,1991-03-28,1252727049,1991,CA,The Catalyst,139
Phish,San Francisco,USA,http://phish.net/setlists/?d=1991-03-29,,"March 29, 1991",23 years ago,1991-03-29,1252727256,1991,CA,DNA Lounge,550
Phish,Berkeley,USA,http://phish.net/setlists/?d=1991-03-31,,"March 31, 1991",23 years ago,1991-03-31,1252727797,1991,CA,Berkeley Square Theatre,551
Phish,Arcata,USA,http://phish.net/setlists/?d=1991-04-02,,"April 02, 1991",23 years ago,1991-04-02,1252769687,1991,CA,International Beer Garden,552
Phish,Ashland,USA,http://phish.net/setlists/?d=1991-04-03,,"April 03, 1991",23 years ago,1991-04-03,1252770707,1991,OR,"Britt Ballroom, Southern Oregon State College",553
Phish,Eugene,USA,http://phish.net/setlists/?d=1991-04-04,,"April 04, 1991",23 years ago,1991-04-04,1252784138,1991,OR,WOW Hall,562
Phish,Portland,USA,http://phish.net/setlists/?d=1991-04-05,,"April 05, 1991",23 years ago,1991-04-05,1252784586,1991,OR,Starry Night,563
Phish,Olympia,USA,http://phish.net/setlists/?d=1991-04-06,,"April 06, 1991",23 years ago,1991-04-06,1252784875,1991,WA,"Campus Recreation Center, Evergreen College",144
Phish,Northfield,USA,http://phish.net/setlists/?d=1991-04-11,,"April 11, 1991",23 years ago,1991-04-11,1252785256,1991,MN,"The Cave, Carleton College",564
Phish,Madison,USA,http://phish.net/setlists/?d=1991-04-12,,"April 12, 1991",23 years ago,1991-04-12,1252785687,1991,WI,Barrymore Theatre,146
Phish,Chicago,USA,http://phish.net/setlists/?d=1991-04-13,,"April 13, 1991",23 years ago,1991-04-13,1252785898,1991,IL,,565
Phish,Evanston,USA,http://phish.net/setlists/?d=1991-04-15,,"April 15, 1991",23 years ago,1991-04-15,1252786363,1991,IL,"The Gathering Place, Norris University Center, Northwestern University",566
Phish,Ann Arbor,USA,http://phish.net/setlists/?d=1991-04-16,,"April 16, 1991",23 years ago,1991-04-16,1252787553,1991,MI,,567
Phish,Oberlin,USA,http://phish.net/setlists/?d=1991-04-18,,"April 18, 1991",23 years ago,1991-04-18,1252789005,1991,OH,"Dionysus Club, The 'Sco, Oberlin College",231
Phish,Buffalo,USA,http://phish.net/setlists/?d=1991-04-19,,"April 19, 1991",23 years ago,1991-04-19,1252789406,1991,NY,,568
